,PA1,PA2,PA3,PA4,PA5,Unique variance
rrs_01,0.476485765,-0.175381412,-0.033885853,-0.026135563,-0.116517914,0.727483335
rrs_02,0.553060411,0.08897932,-0.205259179,-0.134006812,0.101839669,0.613252364
rrs_03,0.488601535,0.097466958,-0.168627231,-0.219006741,-0.133528945,0.654320386
rrs_04,0.450042125,-0.096017169,-0.070079517,-0.186575346,-0.235334811,0.692825718
rrs_05,0.679793256,-0.145113848,-0.005541188,0.124573986,-0.202435085,0.462641138
rrs_06,0.51902685,-0.072117209,-0.207137382,-0.301861554,-0.061916789,0.57705189
rrs_07,0.51508458,-0.04516636,-0.079844486,-0.130400313,0.31331333,0.606484389
rrs_08,0.516723812,-0.283264391,-0.328787596,-0.03819261,-0.131591096,0.532077224
rrs_09,0.576656692,-0.031750652,-0.252579178,-0.23076142,-0.081472335,0.533821618
rrs_10,0.669859314,-0.022519938,-0.068460098,-0.148630431,-0.101931164,0.51272586
rrs_11,0.61613951,0.038511256,0.00564617,-0.175817303,0.131814697,0.569535531
rrs_12,0.145098662,-0.119793612,0.038087266,-0.084762694,0.44391903,0.747081414
rrs_13,0.586598044,0.056575985,0.117240583,-0.179177467,-0.35355359,0.499860705
rrs_14,0.659975645,-0.013324966,-0.066601246,-0.225202811,-0.005280856,0.506539508
rrs_15,0.659891062,0.032081528,-0.078812264,0.173279507,-0.224405089,0.469994754
rrs_16,0.757876148,-0.050638477,-0.165689667,-0.133516698,-0.161519019,0.347884441
rrs_17,0.639118159,0.037184456,-0.07463812,-0.036010008,-0.275989934,0.504601843
rrs_18,0.713733832,-0.01458337,0.003871813,-0.144349844,-0.455888506,0.269819021
rrs_19,0.601933966,-0.101242869,-0.260120756,-0.105851776,-0.115269146,0.531065677
rrs_20,0.571930604,-0.084948951,-0.082176065,-0.149015062,0.151948511,0.608454887
rrs_21,0.499859686,0.015225743,0.008975046,-0.217502285,0.244831717,0.637065327
rrs_22,0.740176502,0.001475495,-0.071828338,-0.09072055,-0.322980597,0.334015726
trash_01_automatically,0.626869295,-0.049209881,0.260379848,0.092213013,0.181735488,0.486404462
trash_02_same_places,0.525629788,0.082325118,0.183498412,-0.113238715,0.164216058,0.6451016
trash_03_hard_not_to,0.660799537,-0.131822141,0.218640578,0.104814598,-0.020476165,0.482731133
trash_04_sad_anx_annoyed,0.542032707,0.281556872,-0.009566255,-0.055099316,0.257773895,0.562536681
trash_05_unintentionally,0.487544278,-0.210078204,0.005052028,0.059293966,0.238088529,0.659277015
trash_06_when_alone,0.606753928,0.05094392,-0.054738291,-0.002204958,0.293982587,0.54222316
trash_07_effort_to_stop,0.580805222,-0.106680425,0.058167606,-0.049464217,0.051949415,0.640185783
trash_08_same_times_day,0.310570439,-0.032317904,0.012431026,-0.045381526,0.464791095,0.679898436
trash_09_start_before_realize,0.553074412,-0.106122271,0.214693264,0.336446573,0.135265036,0.500151555
trash_10_response_same_sit,0.403768861,-0.215046132,0.062569193,0.087338942,0.178605163,0.746931304
pswq_01_worries_bother_me,0.58872245,-0.237213332,0.359336079,0.01161274,-0.048189702,0.456143833
pswq_02_dont_worry_things,0.496008565,0.265321653,0.374374771,0.032292226,0.014995692,0.55236165
pswq_03_things_worry_me,0.585412116,0.022184728,0.604134096,-0.03165035,0.013848702,0.294290999
pswq_04_cant_help_worry,0.555069035,-0.043017742,0.539496668,-0.025563651,0.144591972,0.364976537
pswq_05_worry_under_pressure,0.545273511,-0.093115466,0.486904842,-0.137006335,-0.093843578,0.437637196
pswq_06_always_worrying,0.680821785,-0.108573072,0.453964065,0.122520075,-0.11430045,0.284044202
pswq_07_easy_stop_worrying,0.291537955,0.074535861,0.330641503,-0.052577012,-0.00244823,0.804278984
pswq_08_worry,0.566762249,0.051205498,0.498184559,0.012712544,-0.149211162,0.41715049
pswq_09_never_worry,0.414833194,0.0717845,0.365432377,-0.068139002,0.235666832,0.625145008
pswq_10_worry_all_my_life,0.495125678,0.06378981,0.396649286,0.067679403,0.100810549,0.573572112
pswq_11_notice_i_worry,0.428400421,0.005916953,0.436716982,-0.085054592,0.059740093,0.616703327
pswq_12_start_worry_cant_stop,0.662027481,-0.062065576,0.446385075,0.006364425,-0.032009261,0.355196387
pswq_13_worry_all_time,0.655971957,-0.065916301,0.476792263,0.092511059,-0.051781319,0.320093118
pswq_14_worry_till_thngs_done,0.537721243,0.017615136,0.29745277,0.156668322,-0.057030497,0.588875138
sari_01_angry,0.412351375,0.556165459,0.00089773,0.108286822,-0.120850573,0.476710214
sari_02_angry,0.49127785,0.677660222,0.012112701,0.010208678,-0.084272406,0.288821582
sari_03_angry,0.470675616,0.579338197,-0.14278288,-0.141352432,0.189210338,0.375106541
sari_04_angry,0.582854384,0.584383572,-0.008193379,0.051499032,-0.035598806,0.306531028
sari_05_angry,0.524937786,0.545886703,0.014782661,-0.043262947,-0.010183093,0.430214911
sari_07_angry,0.551840948,0.612731431,-0.019462237,-0.051565337,0.072631778,0.31853545
sari_08_angry,0.487294551,0.618141832,-0.046706266,0.082773486,-0.005325881,0.356861895
sari_09_angry,0.522465816,0.74643924,0.036953158,-0.108016789,0.034186158,0.17773862
sari_10_angry,0.304598635,0.670700467,-0.071884285,0.191199898,-0.087779896,0.370308364
sari_11_angry,0.421659089,0.695609945,0.097682984,0.012477256,0.000264118,0.336351348
sari_01_sad,0.541931785,0.045018348,0.020306704,0.382568119,0.13260094,0.54142468
sari_02_sad,0.680954571,-0.023386981,-0.187689672,0.330985094,-0.054702448,0.395631197
sari_03_sad,0.643842844,-0.087960296,-0.254616448,0.303511322,0.2260913,0.404121086
sari_04_sad,0.603560563,0.110417478,-0.075098176,0.437925809,-0.03980879,0.415197275
sari_05_sad,0.638061189,0.001570265,-0.026784546,0.339998327,0.066609395,0.476264584
sari_07_sad,0.597914177,0.107255666,-0.004977666,0.369062108,0.004228996,0.486872535
sari_08_sad,0.591708806,0.125911407,0.195656185,0.326356661,0.050904667,0.473527044
sari_09_sad,0.644846725,0.188965662,-0.093528786,0.326440823,-0.044901065,0.417318206
sari_10_sad,0.403049924,-0.01989587,0.015916765,0.533931833,-0.086836903,0.539930803
rum_vas_01_frequency,0.510353369,-0.199131467,0.120275671,0.174876693,0.185965353,0.620200148
rum_vas_02_control,0.30866052,-0.035055872,0.080266745,0.133382985,-0.206355837,0.834945148
rum_vas_03_duration,0.33712159,0.134056756,0.025949368,0.295620201,-0.065470776,0.764579925
rum_vas_04_distress,0.520066131,-0.050197467,-0.007782696,0.365333146,0.08478572,0.594179353
Initial eigenvalues,21.58,4.46,3.11,2.09,1.75,
Sum of squares loadings,21,4.77,3.62,2.52,2.12,
Variance explained,0.3,0.07,0.05,0.04,0.03,
