"","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11"
"cdrs01s",NA,NA,NA,NA,-0.33,NA,NA,NA,NA,NA,NA
"cdrs02s",NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA
"cdrs03s",NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA
"cdrs04s",0.38,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA
"cdrs05s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cdrs06s",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA
"cdrs07s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cdrs08s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cdrs09s",NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA
"cdrs10s",NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA
"cdrs11s",NA,NA,NA,0.34,NA,NA,NA,0.5,NA,NA,NA
"cdrs12s",NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA
"cdrs13s",NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA
"cdrs14s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cdrs15",NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA
"cdrs16",NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA
"cdrs17",NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA
"rrs_01",0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_02",0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_03",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_04",0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_05",0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_06",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_07",0.45,NA,NA,NA,NA,NA,NA,NA,NA,-0.35,NA
"rrs_08",0.43,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA
"rrs_09",0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_10",0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_11",0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_13",0.6,NA,NA,NA,NA,NA,-0.37,NA,NA,NA,NA
"rrs_14",0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_15",0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_16",0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_17",0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_18",0.65,NA,NA,NA,NA,NA,-0.39,NA,NA,NA,NA
"rrs_19",0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrs_20",0.51,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA
