,PA1,PA2,PA3,PA4,PA5
rrs_01,0.44,,,,
rrs_02,0.56,,,,
rrs_03,0.44,,0.38,,
rrs_04,0.39,,0.39,,
rrs_05,0.66,,,,
rrs_06,0.46,,0.38,,
rrs_07,0.57,,,,
rrs_08,0.47,,0.35,,
rrs_09,0.54,,0.34,,
rrs_10,0.64,,,,
rrs_11,0.63,,,,
rrs_12,,,,,
rrs_13,0.52,,0.42,,
rrs_14,0.65,,,,
rrs_15,0.65,,,,
rrs_16,0.73,,,,
rrs_17,0.58,,0.39,,
rrs_18,0.63,,0.53,,
rrs_19,0.55,,0.39,,
rrs_20,0.6,,,,
rrs_21,0.52,,,,
rrs_22,0.69,,0.4,,
trash_01_automatically,0.63,,,,
trash_02_same_places,0.52,,,,
trash_03_hard_not_to,0.62,,,,
trash_04_sad_anx_annoyed,0.57,,,,
trash_05_unintentiolly,0.48,,,,
trash_06_when_alone,0.64,,,,
trash_07_effort_to_stop,0.56,,,,
trash_08_same_times_day,0.34,,,,
trash_09_start_before_realize,0.59,,,,
trash_10_response_same_sit,0.39,,,,
pswq_01_worries_bother_me,0.54,,,,-0.43
pswq_02_dont_worry_things,0.52,,,,-0.34
pswq_03_things_worry_me,0.55,,,,-0.65
pswq_04_cant_help_worry,0.54,,,,-0.56
pswq_05_worry_under_pressure,0.49,,,,-0.55
pswq_06_always_worrying,0.65,,,,-0.48
pswq_07_easy_stop_worrying,,,,,-0.35
pswq_08_worry,0.53,,,,-0.52
pswq_09_never_worry,0.42,,,,-0.39
pswq_10_worry_all_my_life,0.5,,,,-0.4
pswq_11_notice_i_worry,0.42,,,,-0.44
pswq_12_start_worry_cant_stop,0.63,,,,-0.49
pswq_13_worry_all_time,0.64,,,,-0.48
pswq_14_worry_till_thngs_done,0.54,,,,
sari_01_angry,0.45,0.54,,,
sari_02_angry,0.51,0.67,,,
sari_03_angry,0.53,0.51,,,
sari_04_angry,0.6,0.57,,,
sari_05_angry,0.54,0.53,,,
sari_06_angry,0.54,0.33,-0.34,,
sari_07_angry,0.58,0.59,,,
sari_08_angry,0.54,0.58,,,
sari_09_angry,0.56,0.72,,,
sari_10_angry,0.36,0.64,,,
sari_11_angry,0.45,0.67,,,
sari_01_sad,0.58,,,-0.31,
sari_02_sad,0.68,,,-0.35,
sari_03_sad,0.68,,,,
sari_04_sad,0.62,,,-0.49,
sari_05_sad,0.65,,,,
sari_06_sad,0.55,,-0.45,,
sari_07_sad,0.62,,,-0.35,
sari_08_sad,0.63,,,,
sari_09_sad,0.65,,,-0.35,
sari_10_sad,0.41,,,-0.53,
sari_11_sad,0.55,,,-0.44,
rum_vas_01_frequency,0.53,,,,
rum_vas_02_control,,,,,
rum_vas_03_duration,0.34,,,,
rum_vas_04_distress,0.55,,,,
