"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"study","962","","","","","",""
"... r33","306","32%","","","","",""
"... r61","656","68%","","","","",""
"pre_post_tx","962","","","","","",""
"... post","443","46%","","","","",""
"... pre","519","54%","","","","",""
"redcap_repeat_instrument","243","","","","","",""
"... rrs","243","100%","","","","",""
"redcap_repeat_instance","297","1","0.18","1","1","1","2"
"status","780","2.3","10","1","1","1","99"
"cdrs_interviewer","295","6.5","3.3","1","2.5","8","12"
"demo_adol_age","422","16","1.1","14","15","17","18"
"demo_adol_sex","444","1.6","0.48","1","1","2","2"
"demo_adol_gender___1","951","0.12","0.33","0","0","0","1"
"demo_adol_gender___2","951","0.1","0.3","0","0","0","1"
"demo_adol_gender___3","951","0.03","0.17","0","0","0","1"
"demo_adol_gender___4","951","0","0","0","0","0","0"
"demo_adol_gender___5","951","0.034","0.18","0","0","0","1"
"demo_adol_gender___6","951","0.012","0.11","0","0","0","1"
"demo_adol_gender___7","951","0.029","0.17","0","0","0","1"
"demo_adol_gender___8","295","0.037","0.19","0","0","0","1"
"demo_adol_race","423","1.2","0.82","1","1","1","6"
"demo_adol_ethnicity","421","1.9","0.28","1","2","2","2"
"demo_numbersiblings","438","2.7","1.5","0","1","3.8","8"
"demo_mothereducation","433","5.8","0.78","4","5","6","7"
"demo_fathereducation","400","5.9","0.91","4","5","7","7"
"demo_familyincome","438","5.3","0.96","1","5","6","6"
"cdrs01s","218","2.7","1.6","1","1","4","7"
"cdrs02s","218","2.1","1.4","1","1","3","7"
"cdrs03s","217","1.8","1.3","1","1","2","7"
"cdrs04s","217","2.5","1.5","1","1","4","7"
"cdrs05s","217","1.7","1.2","1","1","2","6"
"cdrs06s","217","2.9","1.8","1","2","4","7"
"cdrs07s","217","1.8","1.3","1","1","2","7"
"cdrs08s","217","2.3","1.3","1","1","3","7"
"cdrs09s","217","1.7","1","1","1","2","5"
"cdrs10s","217","3.1","1.6","1","2","4","7"
"cdrs11s","217","2.5","1.5","1","1","3","7"
"cdrs12s","216","1.3","0.79","1","1","1","5"
"cdrs13s","217","1.5","1.1","1","1","1","6"
"cdrs14s","217","1.9","1.5","1","1","2","7"
"cdrs15","217","1.6","1","0","1","2","6"
"cdrs16","216","1.4","0.75","0","1","2","6"
"cdrs17","217","1.4","0.76","1","1","1","6"
"rrs_01","604","2.4","0.84","1","2","3","4"
"rrs_02","604","2.2","0.96","1","1","3","4"
"rrs_03","604","2.6","0.96","1","2","3","4"
"rrs_04","604","2.6","0.96","1","2","3","4"
"rrs_05","605","2","0.96","1","1","3","4"
"rrs_06","604","2.6","0.94","1","2","3","4"
"rrs_07","605","2.3","1","1","2","3","4"
"rrs_08","604","2.2","1","1","1","3","4"
"rrs_09","605","2.3","0.99","1","2","3","4"
"rrs_10","604","2.3","1","1","1","3","4"
"rrs_11","605","2.4","1","1","2","3","4"
"rrs_12","605","1.6","0.81","1","1","2","4"
"rrs_13","605","2.7","0.94","1","2","3","4"
"rrs_14","601","2.2","0.98","1","1","3","4"
"rrs_15","602","2.1","1","1","1","3","4"
"rrs_16","602","2.4","1","1","2","3","4"
"rrs_17","601","2.4","0.93","1","2","3","4"
"rrs_18","601","2.7","1","1","2","4","4"
"rrs_19","601","2.5","1","1","2","3","4"
"rrs_20","602","2","0.97","1","1","3","4"
"rrs_21","602","2.5","0.99","1","2","3","4"
"rrs_22","601","2.3","1","1","1","3","4"
"upps_01_doingsomething","184","2.5","0.78","1","2","3","4"
"upps_02_thrillingthings","184","3","0.72","1","3","3","4"
"upps_03_seethings","184","1.9","0.66","1","1","2","3"
"upps_04_blurtout","184","2.9","0.99","1","2","4","4"
"upps_05_upsetunfinished","184","2","0.77","1","2","2.2","4"
"upps_06_stopandthink","184","2.1","0.81","1","2","3","4"
"upps_07_feelbad","184","2.5","0.85","1","2","3","4"
"upps_08_waterskiing","184","2.7","1.1","1","2","4","4"
"upps_09_hatetostop","184","1.9","0.74","1","1","2","4"
"upps_10_whattodo","184","1.5","0.64","1","1","2","3"
"upps_11_feelbad","184","2.6","0.88","1","2","3","4"
"upps_12_takingrisks","184","2.8","0.82","1","2","3","4"
"upps_13_thinkhard","184","2","0.85","1","1","3","4"
"upps_14_parachutejumping","184","2.6","1.1","1","2","4","4"
"upps_15_finish","184","2.2","0.69","1","2","3","4"
"upps_16_carefulapproach","184","2","0.76","1","2","2","4"
"upps_17_actwithoutthinking","184","3","0.88","1","2","4","4"
"upps_18_thrillingthings","184","3","0.82","1","2","4","4"
"upps_19_getthingsdone","184","2.6","0.97","1","2","3","4"
"upps_20_rejected","184","2.6","0.94","1","2","3","4"
"upps_21_fly","184","2.5","1.1","1","2","4","4"
"upps_22_getsthejobdone","184","2.2","0.8","1","2","3","4"
"upps_23_careful","184","2.1","0.76","1","2","3","4"
"upps_24_finish","183","2.2","0.8","1","2","3","4"
"upps_25_knowwhattoexpect","184","1.5","0.59","1","1","2","3"
"upps_26_actwithoutthinking","184","2.7","0.96","1","2","3","4"
"upps_27_ski","184","2.4","1.1","1","1","3","4"
"upps_28_stopandthink","184","2.2","0.77","1","2","3","4"
"upps_29_choices","183","2","0.81","1","1","2","4"
"upps_30_mad","183","2.9","0.94","1","2","4","4"
"upps_31_drivingfast","183","3","1.1","1","2","4","4"
"upps_32_crazythings","183","2.4","0.86","1","2","3","4"
"upps_33_veryhappy","183","2.5","0.89","1","2","3","4"
"upps_34_thrilled","183","2.5","0.85","1","2","3","4"
"upps_35_greatmood","183","2.1","0.81","1","2","3","4"
"upps_36_actwithoutthinking","183","2.4","0.9","1","2","3","4"
"upps_37_troublehappy","183","2","0.87","1","1","3","4"
"upps_38_outofcontrol","183","2.1","0.92","1","1","3","4"
"upps_39_losecontrol","183","2","0.88","1","1","3","4"
"upps_40_problemsinlife","183","1.8","0.83","1","1","2","4"
"scared_01_hardtobreathe","414","0.84","0.76","0","0","1","2"
"scared_02_headaches_school","414","1","0.81","0","0","2","2"
"scared_03_dontlikeunknownppl","414","1.2","0.75","0","1","2","2"
"scared_04_scarednotsleepathome","414","0.32","0.58","0","0","1","2"
"scared_05_worrypeoplelikeme","414","1.3","0.72","0","1","2","2"
"scared_06_passingoutfrightened","414","0.37","0.61","0","0","1","2"
"scared_07_nervous","414","1.1","0.68","0","1","2","2"
"scared_08_follow_parents","414","0.39","0.61","0","0","1","2"
"scared_09_looknervous","414","0.41","0.6","0","0","1","2"
"scared_10_nervouswithppldontknow","414","1.1","0.77","0","1","2","2"
"scared_11_stomachachesschool","414","0.68","0.79","0","0","1","2"
"scared_12_frightened","414","0.48","0.7","0","0","1","2"
"scared_13_worrysleepalone","414","0.26","0.55","0","0","0","2"
"scared_14_worrybeinggood","414","1.1","0.79","0","0","2","2"
"scared_15_thingsunrealscared","414","0.5","0.7","0","0","1","2"
"scared_16_nightmaresparents","414","0.42","0.67","0","0","1","2"
"scared_17_worrygoingschool","414","0.84","0.78","0","0","1","2"
"scared_18_heartbeatsfastscared","414","1.3","0.74","0","1","2","2"
"scared_19_getshaky","414","1.2","0.78","0","1","2","2"
"scared_20_nightmaresbadtome","414","0.75","0.81","0","0","1","2"
"scared_21_worrythingsworkme","413","1.3","0.68","0","1","2","2"
"scared_22_sweatwhenscared","413","0.65","0.73","0","0","1","2"
"scared_23_worrier","413","1.3","0.75","0","1","2","2"
"scared_24_frightenednoreason","413","0.62","0.72","0","0","1","2"
"scared_25_afraidalonehouse","413","0.26","0.52","0","0","0","2"
"scared_26_hardtalktoppl","413","1","0.78","0","0","2","2"
"scared_27_chokingwhenscared","413","0.31","0.58","0","0","1","2"
"scared_28_peoplesayiworry","413","0.82","0.79","0","0","1","2"
"scared_29_dontlikeawayfamily","413","0.41","0.65","0","0","1","2"
"scared_30_afraidpanicattacks","413","0.84","0.81","0","0","2","2"
"scared_31_worryhappenstoparents","413","0.62","0.72","0","0","1","2"
"scared_32_shy","413","1.1","0.81","0","0","2","2"
"scared_33_worryfuture","413","1.3","0.7","0","1","2","2"
"scared_34_throwingupscared","413","0.57","0.74","0","0","1","2"
"scared_35_worryhowdothings","413","1.3","0.7","0","1","2","2"
"scared_36_scaredgotoschool","413","0.53","0.7","0","0","1","2"
"scared_37_worrypast","412","1.1","0.72","0","1","2","2"
"scared_38_dizzywhenscared","413","0.54","0.72","0","0","1","2"
"scared_39_nervouswithothers","413","1.1","0.84","0","0","2","2"
"scared_40_nervouspartiesdances","413","1.1","0.77","0","1","2","2"
"scared_41_shy","413","0.9","0.8","0","0","2","2"
"trash_01_automatically","163","3.7","0.97","1","3","4","5"
"trash_02_same_places","163","3.3","1.1","1","3","4","5"
"trash_03_hard_not_to","163","3.7","1.1","1","3","4","5"
"trash_04_sad_anx_annoyed","163","4.2","1","1","4","5","5"
"trash_05_unintentionally","163","4.1","0.95","1","4","5","5"
"trash_06_when_alone","163","3.9","1.1","1","3","5","5"
"trash_07_effort_to_stop","163","4","1","1","3.5","5","5"
"trash_08_same_times_day","163","2.7","1.1","1","2","4","5"
"trash_09_start_before_realize","163","3.8","1.1","1","3","5","5"
"trash_10_response_same_sit","163","3.6","1.1","1","3","4","5"
"pswq_01_worries_bother_me","235","1.7","0.85","0","1","2","3"
"pswq_02_dont_worry_things","235","2.3","0.73","0","2","3","3"
"pswq_03_things_worry_me","235","1.8","0.96","0","1","3","3"
"pswq_04_cant_help_worry","235","1.9","0.95","0","1","3","3"
"pswq_05_worry_under_pressure","235","2","0.89","0","1","3","3"
"pswq_06_always_worrying","235","1.5","1.1","0","1","2","3"
"pswq_07_easy_stop_worrying","235","2.2","0.81","0","2","3","3"
"pswq_08_worry","235","1.4","0.93","0","1","2","3"
"pswq_09_never_worry","235","2.7","0.64","0","2.5","3","3"
"pswq_10_worry_all_my_life","235","1.6","1","0","1","2","3"
"pswq_11_notice_i_worry","235","1.8","0.87","0","1","2","3"
"pswq_12_start_worry_cant_stop","235","1.3","0.92","0","1","2","3"
"pswq_13_worry_all_time","235","1.4","1","0","1","2","3"
"pswq_14_worry_till_thngs_done","235","1.6","0.89","0","1","2","3"
"sari_01_angry","360","2.9","0.92","1","2","3","5"
"sari_02_angry","360","2.7","1.1","1","2","3","5"
"sari_03_angry","360","2.9","1.1","1","2","4","5"
"sari_04_angry","360","3","1.2","1","2","4","5"
"sari_05_angry","360","2.8","1.2","1","2","4","5"
"sari_06_angry","360","2.8","1.1","1","2","4","5"
"sari_07_angry","360","3.2","1.1","1","3","4","5"
"sari_08_angry","360","2.7","1.2","1","2","4","5"
"sari_09_angry","360","3.2","1.1","1","3","4","5"
"sari_10_angry","360","2.9","1.1","1","2","4","5"
"sari_11_angry","360","2.9","1.2","1","2","4","5"
"sari_01_sad","360","3","0.8","1","3","3","4"
"sari_02_sad","360","2.9","0.88","1","2","4","4"
"sari_03_sad","360","3","0.86","1","3","4","4"
"sari_04_sad","360","3","0.92","1","3","4","4"
"sari_05_sad","360","3","0.94","1","2","4","4"
"sari_06_sad","360","2.8","0.91","1","2","3","5"
"sari_07_sad","360","3.1","0.88","1","3","4","5"
"sari_08_sad","360","2.9","1","1","2","4","5"
