"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"study","185","","","","","",""
"... r33","68","37%","","","","",""
"... r61","117","63%","","","","",""
"pre_post_tx","185","","","","","",""
"... pre","185","100%","","","","",""
"status","109","3.4","13","1","1","1","99"
"demo_adol_age","73","16","1.2","14","15","17","18"
"demo_adol_sex","77","1.6","0.49","1","1","2","2"
"demo_adol_gender___1","176","0.12","0.33","0","0","0","1"
"demo_adol_gender___2","176","0.12","0.33","0","0","0","1"
"demo_adol_gender___3","176","0.023","0.15","0","0","0","1"
"demo_adol_gender___4","176","0","0","0","0","0","0"
"demo_adol_gender___5","176","0.034","0.18","0","0","0","1"
"demo_adol_gender___6","176","0.0057","0.075","0","0","0","1"
"demo_adol_gender___7","176","0.023","0.15","0","0","0","1"
"demo_adol_gender___8","59","0.017","0.13","0","0","0","1"
"demo_adol_race","75","1.3","1","1","1","1","6"
"demo_adol_ethnicity","74","1.9","0.31","1","2","2","2"
"demo_numbersiblings","76","2.5","1.4","0","1","3","8"
"demo_mothereducation","75","5.9","0.78","4","5","6","7"
"demo_fathereducation","67","5.9","0.97","4","5","7","7"
"demo_familyincome","76","5.4","0.99","1","5","6","6"
"cdrs01s","172","2.8","1.6","1","1","4","7"
"cdrs02s","172","2.2","1.5","1","1","3","7"
"cdrs03s","171","1.8","1.2","1","1","2","7"
"cdrs04s","171","2.6","1.5","1","1","4","7"
"cdrs05s","171","1.7","1.1","1","1","2","6"
"cdrs06s","171","3","1.7","1","2","4","7"
"cdrs07s","171","1.9","1.3","1","1","2","7"
"cdrs08s","171","2.4","1.3","1","1","3","7"
"cdrs09s","171","1.7","1","1","1","2","5"
"cdrs10s","171","3.2","1.6","1","2","4.8","7"
"cdrs11s","171","2.6","1.5","1","1","3","6"
"cdrs12s","171","1.4","0.85","1","1","1","5"
"cdrs13s","171","1.5","1.1","1","1","1","6"
"cdrs14s","171","1.9","1.4","1","1","2","7"
"cdrs15","172","1.7","1.1","0","1","2","6"
"cdrs16","171","1.4","0.77","0","1","2","6"
"cdrs17","172","1.4","0.81","1","1","2","6"
"rrs_01","160","2.6","0.78","1","2","3","4"
"rrs_02","160","2.3","0.9","1","1.8","3","4"
"rrs_03","160","2.6","0.9","1","2","3","4"
"rrs_04","160","2.8","0.87","1","2","3.3","4"
"rrs_05","160","2.3","0.98","1","1.9","3","4"
"rrs_06","160","2.8","0.91","1","2","3.7","4"
"rrs_07","160","2.5","0.95","1","2","3","4"
"rrs_08","160","2.4","0.96","1","2","3","4"
"rrs_09","160","2.4","0.93","1","2","3","4"
"rrs_10","160","2.6","0.96","1","2","3","4"
"rrs_11","160","2.5","0.92","1","2","3","4"
"rrs_12","160","1.5","0.8","1","1","2","4"
"rrs_13","160","3.1","0.85","1","2.5","4","4"
"rrs_14","159","2.3","0.98","1","1.4","3","4"
"rrs_15","159","2.6","1","1","2","3","4"
"rrs_16","159","2.7","0.91","1","2","3","4"
"rrs_17","159","2.6","0.86","1","2","3","4"
"rrs_18","159","3","0.89","1","2","4","4"
"rrs_19","159","2.7","0.92","1","2","3.3","4"
"rrs_20","159","2.2","0.98","1","1.3","3","4"
"rrs_21","159","2.6","0.99","1","2","3.4","4"
"rrs_22","159","2.7","0.98","1","2","3.8","4"
"upps_01_doingsomething","108","2.6","0.75","1","2","3","4"
